질문,답변
손가락 사이 멍,안녕하세요. 메디이즈입니다.  손가락 사이에 멍이 생기는 것은 다양한 원인으로 발생할 수 있습니다. 가장 흔한 원인은 손가락을 긁거나 찔러서 생기는 상처입니다. 또한 손가락을 꽉 쥐거나 압박을 가했을 때도 멍이 생길 수 있습니다. 손가락 사이에 멍이 생겼다면 멍이 생긴 부위를 냉찜질하고 멍이 빨리 흡수되도록 해주세요. 또한 손가락을 꽉 쥐거나 압박을 가하지 않도록 주의해주세요. 만약 손가락 사이에 멍이 생기고 통증이 심하거나 멍이 오랫동안 없어지지 않는다면 병원에서 진료를 받아보세요. 의사는 증상을 확인하고 원인을 파악한 후 적절한 치료를 처방할 수 있습니다.
상복부 팽만감 설사,안녕하세요. 메디이즈입니다.  상복부 팽만감과 설사는 다양한 원인으로 발생할 수 있습니다. 마라탕을 먹고 상복부 팽만감과 설사가 발생했다면 마라탕의 매운 성분이 위장관에 자극을 주어 발생했을 가능성이 있습니다. 또한 마라탕을 먹고 설사가 발생했다면 마라탕에 들어있는 식중독균에 감염되었을 가능성도 있습니다. 마라탕을 먹고 상복부 팽만감과 설사가 발생했다면 병원에서 진료를 받아보는 것이 좋습니다. 의사는 증상을 확인하고 원인을 파악한 후 적절한 치료를 처방할 수 있습니다. 네이버 검색을 통해 위암을 진단하는 것은 불가능합니다. 위암은 내시경 검사를 통해 진단할 수 있습니다. 위암은 조기 발견하면 완치할 수 있는 질환입니다. 따라서 상복부 팽만감과 설사가 지속된다면 병원에서 진료를 받아보는 것이 좋습니다.
일반채용검진 매독,안녕하세요. 메디이즈입니다.  매독은 치료를 받으면 완치가 가능하지만 완치된 이후에도 매독 항체가 몸에 남아있을 수 있습니다. 따라서 매독 검사에서 매독 항체가 검출된다고 해서 반드시 매독이 재발한 것은 아닙니다. 만약 매독 검사에서 매독 항체가 검출된다면 매독이 재발했는지 확인하기 위해 추가 검사를 받아야 합니다. 일반채용검진에서 매독 검사를 할 때는 매독 항체 검사를 하는 것이 일반적입니다. 따라서 매독 검사에서 매독 항체가 검출된다면 매독이 재발했는지 확인하기 위해 추가 검사를 받아야 합니다. 만약 매독 검사에서 매독 항체가 검출되지 않는다면 매독이 재발하지 않은 것으로 볼 수 있습니다.
왼쪽 가슴에 통증이 있어요.,안녕하세요. 메디이즈입니다.  왼쪽 가슴에 통증이 있는 경우 심장질환을 의심해볼 수 있습니다. 심장질환은 심장의 기능에 문제가 생겨 발생하는 질환으로 협심증 심근경색 심부전 등이 있습니다. 협심증은 심장의 혈관이 좁아져서 심장에 충분한 혈액이 공급되지 못하는 질환으로 가슴 통증 호흡곤란 어지럼증 등의 증상이 나타날 수 있습니다. 심근경색은 심장의 혈관이 막혀서 심장 근육이 죽는 질환으로 가슴 통증 호흡곤란 어지럼증 등의 증상이 나타날 수 있습니다. 심부전은 심장의 기능이 떨어져서 심장이 충분한 혈액을 공급하지 못하는 질환으로 호흡곤란 피로감 부종 등의 증상이 나타날 수 있습니다. 왼쪽 가슴에 통증이 있는 경우 병원에서 진료를 받아보는 것이 좋습니다. 의사는 증상을 확인하고 심전도 흉부 엑스레이 심장 초음파 등의 검사를 통해 심장질환 여부를 확인할 수 있습니다. 만약 심장질환이 있다면 적절한 치료를 통해 증상을 완화하고 합병증을 예방할 수 있습니다. 왼쪽 가슴에 통증이 있는 경우 심장질환 이외에도 다양한 원인이 있을 수 있습니다. 예를 들어 늑간 신경통은 늑간 신경이 눌리거나 자극을 받아서 발생하는 질환으로 가슴 통증 팔다리 통증 흉부 압박감 등의 증상이 나타날 수 있습니다. 늑간 신경통은 진통제를 복용하거나 물리치료 침 치료 등을 통해 증상을 완화할 수 있습니다. 왼쪽 가슴에 통증이 있는 경우 심장질환 이외에도 다양한 원인이 있을 수 있으므로 병원에서 진료를 받아보는 것이 좋습니다. 의사는 증상을 확인하고 적절한 검사를 통해 원인을 확인한 후 적절한 치료를 통해 증상을 완화하고 합병증을 예방할 수 있습니다.
M자탈모 인가요?,안녕하세요. 메디이즈입니다.  육안으로 확인했을때는 엠자탈모가 심하진 않습니다 . 탈모 가족력이 있는지 체크해보시고 예전보다 좀더 엠자가 깊어 진것 같으면 엠자 탈모 초기라고 생각해볼수있겠습니다. 남성형 탈모에서는 먹는 탈모약이 예방하는데 가장 효과적이고 부수적으로 모낭주사바르는 미딜영양제 등도 도움이 될수있겠습니다. 현재 엠자가 심하진 않아서 모발이식으로 채울정도는 아닌것으로 보여집니다 감사합니다
편두통 후유증상 머리 숙일때 두통 질문 이차성 두통 질문,안녕하세요. 메디이즈입니다.  편두통은 머리를 숙이거나 몸의 위치 변화에 따라 발생할 수 있습니다. 편두통은 뇌의 신경전달물질인 세로토닌의 이상으로 발생하는 것으로 알려져 있습니다. 세로토닌은 뇌의 신경세포를 흥분시키는 역할을 하는데 편두통이 발생하면 세로토닌의 농도가 증가하면서 뇌의 신경세포가 과도하게 흥분합니다. 이로 인해 두통 어지럼증 구토 등의 증상이 나타날 수 있습니다. 머리를 숙이거나 몸의 위치 변화에 따라 편두통이 발생하는 이유는 세로토닌의 농도가 증가하면서 뇌의 신경세포가 과도하게 흥분하기 때문입니다. 편두통은 이차성 두통이 아닙니다. 이차성 두통은 뇌종양 뇌수막염 뇌출혈 등의 질환으로 인해 발생하는 두통을 말합니다. 편두통은 뇌의 신경전달물질인 세로토닌의 이상으로 발생하는 질환이기 때문에 이차성 두통이 아닙니다. 편두통은 난시가 주요 원인이 아닙니다. 편두통은 뇌의 신경전달물질인 세로토닌의 이상으로 발생하는 질환이기 때문에 난시가 주요 원인이 아닙니다. 편두통은 다양한 원인으로 발생할 수 있지만 가장 흔한 원인은 스트레스입니다. 편두통을 예방하기 위해서는 스트레스를 줄이고 충분한 수면을 취하며 규칙적인 운동을 하는 것이 좋습니다. 편두통이 발생하면 진통제를 복용하거나 냉찜질을 하는 것이 도움이 됩니다. 편두통이 자주 발생하거나 심한 경우에는 병원에서 치료를 받아야 합니다.
20대 발기부전조루,안녕하세요. 메디이즈입니다.  발기부전과 조루는 다양한 원인으로 발생할 수 있습니다. 발기부전의 원인으로는 심혈관 질환 당뇨병 고혈압 고지혈증 뇌졸중 약물 부작용 스트레스 우울증 불안 등이 있습니다. 조루의 원인으로는 심리적 요인 생리적 요인 약물 부작용 등이 있습니다. 발기부전과 조루가 동시에 발생하는 경우 심리적 요인이나 약물 부작용이 원인일 가능성이 높습니다. 왼쪽 고환에 이상한 물체가 차올랐다면 고환염이나 고환 종양일 가능성이 있습니다. 고환염은 세균이나 바이러스 감염으로 인해 발생할 수 있으며 고환 종양은 유전적 요인이나 환경적 요인에 의해 발생할 수 있습니다. 고환염은 항생제를 사용하면 치료할 수 있고 고환 종양은 수술을 통해 치료할 수 있습니다. 발기부전과 조루가 있다면 병원에 방문하여 진료를 받아보는 것이 좋습니다. 의사는 증상을 확인하고 원인을 파악한 후 적절한 치료를 처방할 수 있습니다.
신경이 다친건가요 아니면 근육이 다친검지,안녕하세요. 메디이즈입니다.  시간이 지나면 금방 회복될 가능성이 많습니다.  순간적인 과한 전기자극등에 의해 주변조직의 과긴장등인 경우가 많습니다.  며칠동안 증상 지속된다면 병원 방문하셔서 상담 받아보시기 바랍니다.  감사합니다.
귀 먹먹함과 두통,안녕하세요. 메디이즈입니다.  귀 먹먹함과 두통은 감기나 비염 등의 호흡기 질환으로 인해 발생할 수 있습니다. 호흡기 질환은 코막힘 목의 통증 기침 발열 등의 증상을 동반할 수 있습니다. 호흡기 질환은 대부분 자연적으로 치료되지만 증상이 심하거나 오래 지속되는 경우에는 병원에서 치료를 받아야 합니다. 타이레놀은 두통을 치료하는 데 도움이 될 수 있지만 귀 먹먹함과 두통을 유발하는 원인을 치료하지는 않습니다. 따라서 귀 먹먹함과 두통이 심하거나 오래 지속되는 경우에는 병원에서 진료를 받아보는 것이 좋습니다.
사타구니 안쪽에서 혹과 통증이 느껴집니다.,안녕하세요. 메디이즈입니다.  사타구니 안쪽에서 혹과 통증이 느껴지는 경우 림프절염이나 탈장 혹은 고환염 등이 있을 수 있습니다. 림프절염은 림프절이 붓고 통증이 생기는 질환으로 세균이나 바이러스 감염으로 인해 발생할 수 있습니다. 탈장은 복강 내의 장기가 복벽의 약한 부위를 통해 튀어나오는 질환으로 복압이 증가할 때 발생할 수 있습니다. 고환염은 고환에 염증이 생기는 질환으로 세균이나 바이러스 감염으로 인해 발생할 수 있습니다. 림프절염이나 탈장 고환염은 모두 병원에서 치료가 가능합니다. 림프절염은 항생제를 사용하고 탈장은 수술을 통해 치료하고 고환염은 항생제를 사용하거나 고환을 제거하는 수술을 통해 치료합니다. 따라서 사타구니 안쪽에서 혹과 통증이 느껴지는 경우 병원에 방문하여 진료를 받아보는 것이 좋습니다.
척수혈관기형 콘서타,안녕하세요. 메디이즈입니다.  콘타는 뇌혈관질환이 있는 경우 복용하지 않는 것이 좋습니다. 척수혈관기형은 뇌혈관질환의 일종이기 때문에 콘타를 복용하기 전에 의사와 상담하는 것이 좋습니다. 콘타는 뇌혈관질환이 있는 경우 혈압을 상승시키고 혈관을 수축시킬 수 있기 때문에 위험할 수 있습니다. 따라서 척수혈관기형이 있는 경우 콘타를 복용하기 전에 의사와 상담하여 안전한지 확인하는 것이 좋습니다.
눈에 번쩍하고 불을 빠르게 켯다 끈듯이 번쩍거렷습니다,안녕하세요. 메디이즈입니다.  광시증은 망막박리뿐만 아니라 다양한 질환에서 나타날 수 있습니다. 따라서 망막박리를 의심하기 위해서는 광시증과 함께 다른 증상이 동반되는지 확인해야 합니다. 망막박리의 다른 증상으로는 비문증 시야 결손 눈부심 등이 있습니다. 만약 광시증과 함께 다른 증상이 동반된다면 망막박리를 의심해 볼 수 있습니다. 하지만 망막박리는 매우 드문 질환이기 때문에 광시증만으로 망막박리를 의심하기는 어렵습니다. 따라서 망막박리를 의심한다면 병원에 방문하여 진료를 받아보는 것이 좋습니다. 망막박리는 조기에 발견하면 치료가 가능하기 때문에 증상이 있다면 빨리 병원에 방문하는 것이 좋습니다.
아 선생님 전기로 인해 생긴 근육 문제라면,안녕하세요. 메디이즈입니다.  전기로 인해 근육 손상이 생겼다면 보통 몇 주에서 몇 달이 걸려서 회복됩니다. 하지만 손상이 심한 경우라면 회복에 더 오랜 시간이 걸릴 수 있습니다. 손상된 근육은 시간이 지나면서 점점 회복되지만 완전히 회복되지 않을 수도 있습니다. 따라서 전기로 근육 손상이 생겼다면 손상 부위를 보호하고 휴식을 취하는 것이 좋습니다. 또한 통증이 심하다면 병원에 방문하여 진료를 받아보는 것이 좋습니다.
상처있는 손으로 길고양이 만지면 안될까요?,안녕하세요. 메디이즈입니다. 상기 행위를 한다고 해서 문제가 되는 질환이 감염되지는 않습니다. 걱정하지 않아도 되겠습니다. 답변이 도움이 되었기를 바랍니다.
락스냄새 영향,안녕하세요. 메디이즈입니다. 락스 성분을 이미 흡입했다면 시간이 지나야 증상이 호전될 것으로 보입니다. 만약 기침이나 호흡기 증상이 심해진다면 진료가 필요합니다.
임신인가요 생리인가요?,안녕하세요. 메디이즈입니다.  임신과 생리 증상은 비슷할 수 있지만 차이가 있습니다. 임신 증상은 생리 예정일보다 2주 이상 지난 후에 나타나며 생리 주기와 관계없이 나타납니다. 생리 증상은 생리 예정일 23일 전부터 나타나며 생리 주기에 따라 나타납니다. 따라서 생리 예정일보다 2주 이상 지난 후에 생리 증상이 나타난다면 임신 가능성이 있습니다. 하지만 임신 테스트를 하기 전에는 임신 여부를 확신할 수 없습니다. 따라서 임신 테스트를 해보거나 산부인과에 방문하여 진료를 받아보는 것이 좋습니다.
입술 헤르페스인가요?,안녕하세요. 메디이즈입니다.  입술 헤르페스는 입술 주위에 물집이 생기는 질환입니다. 물집은 빨갛게 부어오르고 통증이 있으며 터지면 진물이 나옵니다. 입술 헤르페스는 바이러스에 의해 발생하며 한 번 감염되면 평생 재발할 수 있습니다. 입술 헤르페스의 증상은 바이러스가 입술에 침투한 후 23일 후에 나타납니다. 입술 헤르페스는 피부과에서 진단할 수 있으며 치료는 항바이러스제를 사용합니다. 입술 헤르페스를 예방하기 위해서는 손을 자주 씻고 입술에 상처가 생기지 않도록 조심해야 합니다. 또한 입술 헤르페스가 재발할 때는 빨리 치료하는 것이 좋습니다.
돌발성 난청에 대해,안녕하세요. 메디이즈입니다.  돌발성 난청은 갑자기 한쪽 귀의 청력이 떨어지는 질환입니다. 돌발성 난청은 치료가 늦을수록 회복이 어려워지므로 증상이 나타나면 즉시 치료를 시작하는 것이 좋습니다. 돌발성 난청의 치료에는 스테로이드 약물과 이뇨제 항혈소판제 등의 약물을 사용합니다. 또한 비타민과 미네랄 등을 보충하는 것도 도움이 됩니다. 돌발성 난청은 치료 후에도 약 10 정도에서 청력이 완전히 회복되지 않는 경우가 있습니다. 하지만 치료를 하면 대부분 청력이 어느 정도 회복되므로 치료를 시작하는 것이 좋습니다. 현재 5년 정도 지난 상태지만 지금이라도 치료를 시작하면 청력이 어느 정도 회복될 수 있습니다.
전기로 인해 생긴 통증 피부인지 근육문제인지,안녕하세요. 메디이즈입니다.  한 달 전 정전기 소리와 함께 손가락 통증이 생겼다면 피부 손상보다는 근육 손상이 더 확률이 높습니다. 정전기는 전기 충격을 일으키지만 피부 손상은 거의 없습니다. 하지만 정전기는 근육을 수축시킬 수 있고 이로 인해 통증이 발생할 수 있습니다. 따라서 손가락 통증이 가만히 있으면 안 아프고 날카로운 물체에 스칠 때만 아프다면 근육 손상이 더 확률이 높다고 볼 수 있습니다. 만약 통증이 심하거나 지속된다면 병원에 방문하여 진료를 받아보는 것이 좋습니다.
탈모인지 봐주세요,안녕하세요. 메디이즈입니다.  사진으로만으로는 탈모인지 아닌지 정확하게 알 수 없습니다. 탈모는 두피를 직접 관찰하고 두피 검사와 모발 검사를 통해 진단할 수 있습니다. 따라서 탈모가 의심된다면 피부과에 방문하여 진료를 받아보는 것이 좋습니다. 탈모는 원인에 따라 치료 방법이 다르기 때문에 정확한 진단을 통해 적절한 치료를 받아야 합니다. 탈모는 치료가 가능하지만 치료 시기를 놓치면 회복이 어려워질 수 있으므로 탈모가 의심된다면 빠른 시일 내에 진료를 받아보는 것이 좋습니다.
종양표지자 수치 증가,안녕하세요. 메디이즈입니다.  종양표지자 수치가 증가했다고 해서 반드시 암이 있는 것은 아닙니다. 종양표지자는 암과 관련된 물질을 검출하는 검사로 암이 있는 경우 종양표지자 수치가 증가할 수 있지만 암이 없는 경우에도 종양표지자 수치가 증가할 수 있습니다. 따라서 종양표지자 수치가 증가했다고 해서 암을 의심할 수는 없지만 종양표지자 수치가 증가한 경우 암을 포함한 다른 질환을 의심해 볼 수 있습니다. 위 대장내시경 및 복부초음파에서 이상이 없다면 암을 의심하기는 어렵지만 종양표지자 수치가 계속 증가하는 경우에는 정기적으로 검사를 받아보는 것이 좋습니다.
임신 초기 증상,안녕하세요. 메디이즈입니다.  임신 초기 증상으로는 생리 지연 가슴 통증 소화불량 두통 피로감 등이 있습니다. 임신 초기에는 호르몬 변화가 심하기 때문에 이런 증상들이 나타날 수 있습니다. 하지만 임신 초기 증상은 사람마다 다르고 임신하지 않은 사람도 이런 증상이 나타날 수 있기 때문에 임신 여부를 확인하려면 임신 테스트를 해보는 것이 가장 정확합니다. 사후피임약은 호르몬 변화를 유발할 수 있기 때문에 오렌지 주스로 토한 것은 약 부작용일 수도 있습니다. 하지만 임신 초기 증상이 나타날 수 있기 때문에 임신 여부를 확인해 보시는 것이 좋겠습니다.
질문드려요,안녕하세요. 메디이즈입니다.  네 그렇습니다. 수면은 렘수면과 비렘수면으로 나뉘는데 렘수면은 꿈을 꾸는 수면으로 기억력과 학습에 중요한 역할을 하고 비렘수면은 몸을 회복시키는 역할을 합니다. 새벽 늦게 자더라도 숙면을 하면 비렘수면을 충분히 취할 수 있고 이는 기억력과 학습에 도움이 됩니다. 또한 숙면을 하면 스트레스를 해소하고 면역력을 강화하는 효과가 있습니다. 따라서 새벽 늦게 자더라도 숙면을 하는 것이 수면의 질을 높이는 데 도움이 됩니다.
질문드려요,안녕하세요. 메디이즈입니다.  대장내시경에서 관상성종이 발견되는 경우는 드물지만 건강한 30대라도 발견될 수 있습니다. 관상성종은 대장 점막의 염증으로 인해 발생하는 양성 종양으로 대부분 증상이 없기 때문에 대장내시경 검사를 통해 발견됩니다. 관상성종은 대부분 치료가 필요하지 않지만 크기가 커지거나 악성으로 변할 가능성이 있는 경우에는 수술적 제거가 필요할 수 있습니다. 따라서 대장내시경 검사를 통해 관상성종이 발견되면 주치의와 상의하여 치료 여부를 결정하는 것이 좋습니다.
일주일전 ct,안녕하세요. 메디이즈입니다.  설사 증상이 생긴 이후에 CT를 찍는 게 좋을 것 같습니다. 조영제를 넣고 찍는 게 좋을지 여부는 의사의 판단에 따라 다르겠지만 설사 증상이 있는 경우에는 조영제를 넣고 찍는 게 좋을 수도 있습니다. CT를 찍기 전에 의사와 상담해보시면 좋을 것 같습니다.
혀 입 아랫턱에 힘이 들어갑니다,안녕하세요. 메디이즈입니다.  일반적으로 편안한 상태의 혀 위치가 존재합니다. 현재 올바른 혀의 위치를 잡지 못하시는 것으로 보이고 지속적으로 신경이 쓰이시다 보니 구강 주변 근육에 부적절한 힘이 가해지고 있는 것으로 보입니다.  보통적으로 1. 입술은 가볍게 다문 상태를 유지합니다. 2. 혀 끝은 위쪽 앞니의 뒷부분 입천장 앞쪽 에 닿으면 됩니다. N을 발음하는 상태를 떠올리시면 됩니다. 3. 위쪽과 아래쪽의 작은 어금니 부분이 서로 살짝 띄어지도록 하면 됩니다.  이러한 상태를 유지하시도록 노력해보시고 그래도 힘드시다면 주변 치과 혹은 구강내과 를 방문해보시는 것을 권유드립니다.  좋은 하루 보내세요.
구각염 키스,안녕하세요. 메디이즈입니다.  구각염이란 입술의 가장자리 양 끝 쪽에 발생되는 질환으로 다양한 원인이 있습니다.  환자분의 면역력과도 관련이 있고 침이 지속적으로 구각입술 가장자리에 노출이 되어도 발생할 수 있습니다.  따라서 그러한 행동을 자제해주시는 부분이 구각염의 발생 빈도를 낮추는 해결 방법이 될 수 있을 것 같습니다.  좋은 하루 보내세요.
치아 파노라마 입니다 잇몸상태가 안좋나요?,안녕하세요. 메디이즈입니다.  파노라마 사진을 통해 얻을 수 있는 방사선학적 진단과 치과에서 치과의사의 검진시진촉진이 합쳐져야 가장 정확한 진단이 나올 수 있는 점을 미리 말씀드립니다.  현재 파노라마 사진상으로는 양측 위아래 모두 사랑니가 맹출된 부분이 보이고 위쪽 일부 치아의 우식이 살짝 보이는 듯 합니다만 파노라마 사진의 원본이 아니기 때문에 화질이 좋지 않아 정확한 진단은 아닌 점을 양해 부탁드립니다.  검진 받으셨던 치과에서 크게 이상이 없다고 말씀하신 것을 보면 아마도 위에 말씀드린 종합적인 검진 결과에서 현재는 치료가 필요한 부분이 없으시다고 판단 하신 것 같습니다.  좋은 하루 보내세요.
팔자주름 슈링크,안녕하세요. 메디이즈입니다. 슈링크는 보통 권장 주기가 13개월로 짧기 때문에 짧은 주기로 받으셔도 크게 문제가 없습니다. 다만 팔자주름은 슈링크로는 효과가 크지 않을 가능성이 있습니다.
신경이 다친건가요 아니면 근육이 다친검지,안녕하세요. 메디이즈입니다.  시간이 지나면 금방 회복될 가능성이 많습니다.  순간적인 과한 전기자극등에 의해 주변조직의 과긴장등인 경우가 많습니다.  며칠동안 증상 지속된다면 병원 방문하셔서 상담 받아보시기 바랍니다.  감사합니다.
성기 곤지름인가요?,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나  단순 모낭 가능성이 높습니다 하지만 확인차 비뇨의학과를 방문하셔서 진료를 받아보세요  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요 성심성의껏 답변드리겠습니다  감사합니다.
아스파라거스와 해조류김미역다시마의 궁합을 알고 싶습니다.,안녕하세요. 메디이즈입니다. 주로 아스파라거스는 아스파라긴산과 아스파트르산을 비롯한 각종 비타민 무기질이 풍부하며 열량이 낮아 육류와 섭취 시 영양적으로 균형 있는 식사가 가능합니다. 해조류의 경우 단백질이 풍부한 식품은 아니기에 궁합이 안 어울린다고 말씀드릴 순 없지만 균형 있는 식사를 위해서는 육류 및 어류와 섭취하는 것이 좋아보입니다. 또한 아스파라거스는 채소류에 속해 섬유소가 풍부한데 해조류 또한 섬유소가 풍부하여 고섬유소 식사가 필요한 경우에는 궁합이 좋을 수 있겠습니다. 식재료 사용은 자유로우며 식사 구성에 따라 함께 사용해도 되고 분리하여 사용하여도 될 것 같습니다. 참고 바랍니다.
고 2 학생,안녕하세요  요약 1. 가임기인지가 중요하고 2. 정액이 샜으면 결국 임신 가능성도 있습니다. 3. 생리 중에 사정하지 않는 이상 가능성은 있으니 4. 시기가 다가오면 임신테스트기로 확인해 보세요  건승하세요
성기 곤지름인가요?,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나  단순 모낭 가능성이 높습니다 하지만 확인차 비뇨의학과를 방문하셔서 진료를 받아보세요  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요 성심성의껏 답변드리겠습니다  감사합니다.
병원에서 정계정맥류 진단받았는데 불편함이 있습니다,안녕하세요  요약 통증을 비롯한 증상이 반복되면 치료를 해야 합니다.  정계정맥류는 고환에서 체내 순환계로 빠져나가는 혈류가 원활하게 순환되지 못하고 저류되거나 울혈이 생기면 정맥혈관이 확장되어 발생하게 됩니다.  오래 서 있거나 장기간 금욕이나 소변을 오랫동안 참게 되면 고환에 묵직한 느낌과 함께 통증이 생길 수 있습니다.  건승하세요.
간질을 앓고 있는 성인 남성인데 6년 만에 발작이 ,안녕하세요. 메디이즈입니다. 수면이 가장 큰 원인이 아니었을까 싶네요 간질 환자들이 잘 조절되던 상태에서 다시 발작을 일으키는 원인은 다양할 수 있습니다. 주요 원인들은 다음과 같습니다.  약물 불순응Noncompliance 약물 복용을 제대로 하지 않거나 임의로 약물을 중단하는 경우 발작이 재발할 수 있습니다. 스트레스 스트레스는 뇌의 흥분성을 높여 발작 역치를 낮출 수 있습니다. 수면 부족 수면 부족 역시 뇌의 과다한 활성화를 불러와 발작을 유발할 수 있습니다. 호르몬 변화 여성의 경우 월경 주기 임신 출산 등 호르몬 변화로 인해 발작이 재발할 수 있습니다. 감염성 질환 열을 동반한 감염 시 뇌의 흥분성이 높아져 발작 위험이 증가합니다. 약물 상호작용 일부 약물들이 항경련제의 혈중 농도를 변화시켜 발작을 유발할 수 있습니다. 두부 외상 최근에 두부 외상을 입은 경우 발작 위험이 높아집니다.
눈에 힘이 들어가서 미간 눈썹두통,안녕하세요. 메디이즈입니다. 추미근이 과도하게 수축을 하는 경우에 눈썹주의에 통증이 나타나는 경우도 있을 수 있습니다. 두통진료하는 병원에 가시면 되는데 필요하면 그 부위에 주사치료를 할 수 있습니다
키스만 하면 임신 가능성있나요????,안녕하세요. 메디이즈입니다. 1. 네 정상생리적 반응입니다 2. 임신가능성은 없습니다 3. 이런경우도 임신은 불가합니다 임신은 정자와 난자가 만나야 가능합니다
가슴 전반적으로 통증이 있는데 대학병원을 가야하나요?,안녕하세요. 메디이즈입니다. 지금 상황으로는 대학병원진료가 칠요하지는 않을 것으로 생각됩니다. 너무 예민하셔서 그러실 수 있습니다. 계속되면 가슴과 어깨 근육부위에 자세한 진찰이 필요할 수 있습니다
총콜레스테롤이 188217로 상승,안녕하세요. 메디이즈입니다. 콜레스테롤 수치만 보면 조금 높은 수치입니다. 치료할지 말지를 결정하는 것은 저밀도 콜레스테롤 수치입니다 추가로 중성지방과 고밀도 콜레스테롤 검사가 필요합니다. 적정체중을 유지하고 규칙적인 운동과 식사요법이 필요합니다
혈압측정시 자세에 따른 혈압변동,안녕하세요. 메디이즈입니다. 혈압은 수시로 여러가지 상황에 따라 변화합니다. 어쩌다가 한번 높이 나오는 수치는 무시하셔도 됩니다. 혈압수치를 적어서 주치의선생님과 상의ㅣ해보셔요
방금 근막통증후군 질문한 사람인데여,안녕하세요. 메디이즈입니다. 근육을 움직이지 않고 지낼수가 있나요? 과사용이 원인이라면 덜 사용하면서 지내보셔요. 그래서 재발하지 않았으면 좋겠네요
허벅지 앞 무릎 저림 현상 문의,안녕하세요. 메디이즈입니다. 장시간 앉아있을 때 한 쪽으로 나타나는 다리의 저린 양상의 통증은 척추질환을 의심케합니다. 운동을 하고 계신다 말씀하시니 운동으로 인해 허리의 질환이 발병 혹은 악화되었을 여지도 있겠습니다. 정형외과나 신경외과를 방문해보시기 바랍니다.
파열된 근육에 보톡스를 놓으면 어케되나요?,안녕하세요  요약 근육 마비가 작용기전이니 파열된 근육의 불규칙한 수축을 막을 순 있습니다.  보툴리눔 독소보톡스의 작용기전은 콜린성신경시냅스에서 아세틸콜린의 분비를 막아 신경근 접합부에 작용하여 근육을 마비시키는 것입니다   건승하세요
고 2 학생,안녕하세요  요약 1. 가임기인지가 중요하고 2. 정액이 샜으면 결국 임신 가능성도 있습니다. 3. 생리 중에 사정하지 않는 이상 가능성은 있으니 4. 시기가 다가오면 임신테스트기로 확인해 보세요  건승하세요
심혈관 및 지질 관련 건강검진 결과 설명 들을 수 있을까요?,안녕하세요. 메디이즈입니다.  고지혈증은 그 수치보다 더 중요한 것은 고지혈증 즉 콜레스테롤이 이른 연령대에 높아져서 오래 지속이 되는 경우 심혈관질환 동맥경화 뇌졸증등의 위험도가 높아지는 것으로 보고되고 있습니다  수치로 보아 식습관을 체크해 보아야할 듯하고 고지혈증약의 복용을 권해드리고 싶군요
총콜레스테롤이 188217로 상승,안녕하세요. 메디이즈입니다. 콜레스테롤 수치만 보면 조금 높은 수치입니다. 치료할지 말지를 결정하는 것은 저밀도 콜레스테롤 수치입니다 추가로 중성지방과 고밀도 콜레스테롤 검사가 필요합니다. 적정체중을 유지하고 규칙적인 운동과 식사요법이 필요합니다
특정 운동후 가래에 피,안녕하세요. 메디이즈입니다. 숨을 헐떡일 정도로 강도높은 운동을 한 뒤 가래에 피가 섞여나오는데 막상 병원을 방문해 진찰받아보시면 특별한 문제가 없는 상황이 수 차례 반복되신 것 같습니다. 아마 격한 운동 중 호흡이 가빠지면서 상기도가 건조해지고 상처가 난 것이 아닌가 싶습니다. 이 경우엔 휴식만 취해주시면 회복하게 되어 증상은 사라질 것이라 예상할 수 있겠습니다. 이 역시 질문자님의 경과와 유사한 것 같습니다.
인대 늘어난지 2주,안녕하세요. 메디이즈입니다. 발목을 다치셨고 MRI에서 인대 파열을 진단받은 상황이시군요. 인대가 파열되는 수준의 손상은 오랜 회복기간을 요합니다. 2주로는 부족하고 재방문 시 MRI를 바로 촬영하지는 않습니다. 촬영이 필요하다 하더라도 최소 수 개월의 회복기간을 가진 뒤 재촬영을 하게 됩니다. 그러니 병원에서의 치료를 이어가시기 바랍니다.
비장주변 13.2cm병변,안녕하세요. 메디이즈입니다. 복부초음파에서 비장 주변에 13.2cm 병변이 발견될 만한게 별로 없습니다. 신장 낭종이 비장 주변에 생길 수 있는데 신장 낭종은 초음파로 진단이 가능합니다. 낭종이 아닌 종양이 생기거라면 위나 장에서 생긴 종양이 비장 주변에서 보일 수 있습니다.
체중 감소 총 콜레스트롤은 감소했는데 중성지방이 늘어난 이유가 있을까요? 관리방법은요?,안녕하세요  요약 고중성지방혈증의 다른 원인도 있는지 확인해 보세요  고중성지방혈증은  체중증가 음주 탄수화물 섭취 과다 만성신장질환 당뇨병 갑상선저하증 임신 에스트로겐 타목시펜 스테로이드 등의 원인으로 생길 수 있습니다.  건승하세요
